order_purchase_timestamp,orders,revenue,freight,gmv,quantity,avg_delivery_days,avg_review_score,review_count,aov,orders_pct_change,orders_roll_mean,orders_roll_std,orders_zscore,revenue_pct_change,revenue_roll_mean,revenue_roll_std,revenue_zscore,aov_pct_change,aov_roll_mean,aov_roll_std,aov_zscore,avg_delivery_days_pct_change,avg_delivery_days_roll_mean,avg_delivery_days_roll_std,avg_delivery_days_zscore,avg_review_score_pct_change,avg_review_score_roll_mean,avg_review_score_roll_std,avg_review_score_zscore
2016-09-05,2,132.39,78.9,211.29000000000002,3.0,,1.0,2,66.195,,,,,,,,,,,,,,,,,,,,
2016-09-12,0,,,,,,,0,,-100.0,1.0,1.4142135623730951,-0.7071067811865475,,,,,,,,,,,,,,,,
2016-09-19,2,134.97,8.49,143.46,3.0,54.81319444444444,1.0,2,67.485,inf,1.3333333333333333,1.1547005383792517,0.5773502691896257,,133.68,1.8243354954612914,0.7071067811865437,,66.84,0.9121677477306457,0.7071067811865437,,,,,,1.0,0.0,
2016-09-26,0,,,,,,,0,,-100.0,1.0,1.1547005383792515,-0.8660254037844387,,133.68,1.8243354954612914,,,66.84,0.9121677477306457,,,,,,,1.0,0.0,
2016-10-03,9,563.48,141.0,704.48,9.0,26.37357928240741,2.7777777777777777,9,62.60888888888889,inf,2.75,4.272001872658766,1.4630143399516318,,349.225,303.0023268062475,0.7071067811865475,,65.04694444444445,3.4479312324857374,-0.7071067811865481,,40.59338686342593,20.109844735412143,-0.7071067811865475,,1.8888888888888888,1.2570787221094177,0.7071067811865476
2016-10-10,314,48944.18,7160.18,56104.36,354.0,19.371090613514276,3.592233009708738,309,155.8731847133758,3388.8888888888887,81.25,155.21463633734203,1.4995364193241632,8586.054518350253,16547.54333333333,28057.12842913603,1.154666870078702,148.9633460673639,95.32235786742156,52.49520062528121,1.15345452774198,-26.55115027774849,33.519288113455374,18.7704967173007,-0.7537465690452803,29.32038834951458,2.4566702624955052,1.3256132623936634,0.8566320052974908
2016-10-17,0,,,,,,,0,,-100.0,80.75,155.55786704631817,-0.5190994292558425,,24753.829999999998,34210.321048552,,,109.24103680113234,65.9478160200829,,,22.87233494796084,4.95150722295629,,,3.185005393743258,0.5759068174712445,
2016-10-24,1,,,,,,1.0,1,,inf,81.0,155.38554201297708,-0.5148484148758111,,24753.829999999998,34210.321048552,,,109.24103680113234,65.9478160200829,,,22.87233494796084,4.95150722295629,,,2.4566702624955052,1.3256132623936634,-1.0988651847562176
2016-10-31,0,,,,,,,0,,-100.0,78.75,156.8340417979039,-0.50212313026707,,,,,,,,,,,,,,2.296116504854369,1.8329855395806622,
2016-11-07,0,,,,,,,0,,,0.25,0.49999999999851336,-0.5000000000014867,,,,,,,,,,,,,,,,
2016-11-14,0,,,,,,,0,,,0.25,0.49999999999851336,-0.5000000000014867,,,,,,,,,,,,,,,,
2016-11-21,0,,,,,,,0,,,0.0,0.0,,,,,,,,,,,,,,,,,
2016-11-28,0,,,,,,,0,,,0.0,0.0,,,,,,,,,,,,,,,,,
2016-12-05,0,,,,,,,0,,,0.0,0.0,,,,,,,,,,,,,,,,,
2016-12-12,0,,,,,,,0,,,0.0,0.0,,,,,,,,,,,,,,,,,
2016-12-19,0,,,,,,,0,,,0.0,0.0,,,,,,,,,,,,,,,,,
2016-12-26,1,10.9,8.72,19.62,1.0,4.693020833333334,5.0,1,10.9,inf,0.25,0.5,1.5,,,,,,,,,,,,,,,,
2017-01-02,0,,,,,,,0,,-100.0,0.25,0.5,-0.5,,,,,,,,,,,,,,,,
2017-01-09,51,4048.55,679.13,4727.68,53.0,12.742763605442176,4.411764705882353,51,79.38333333333334,inf,13.0,25.337718918639855,1.499740372131331,,2029.7250000000001,2855.0496950578636,0.7071067811865476,,45.14166666666667,48.42502939825874,0.7071067811865475,,8.717892219387755,5.69202770096556,0.7071067811865476,,4.705882352941177,0.4159451654038513,-0.7071067811865475
2017-01-16,94,15571.37,2104.85,17676.22,107.0,13.692170408053402,3.978021978021978,91,165.65287234042555,84.31372549019606,36.5,45.125750224603834,1.2742170426819712,284.615973620185,6543.606666666667,8074.715938200757,1.1180285972195996,108.67462398541954,85.31206855791963,77.54660083089038,1.0360325652146762,7.4505565041303345,10.375984948942971,4.9444316330283336,0.6706909317865024,-9.831501831501832,4.4632622279681105,0.5129315406925736,-0.9460136713194673
2017-01-23,217,27584.01,4579.72,32163.73,269.0,11.954057579620683,3.9813084112149535,214,127.1152534562212,130.85106382978725,90.5,92.67326115624363,1.3650107746475628,77.14568467642857,15734.643333333333,11768.579480503724,1.0068646505975318,-23.264081292238316,124.05048637666003,43.216350355658506,0.07091684175870906,-12.694209731792439,12.796330531038754,0.8702936933753995,-0.9678031196013253,0.08261475706097254,4.123698365039762,0.2494781808207144,-0.5707511308459317
2017-01-30,368,61992.81,7940.51,69933.32,441.0,12.620774857342807,4.098360655737705,366,168.45872282608696,69.5852534562212,182.5,142.27321134587027,1.3038294296249782,124.74183412781534,27299.184999999998,25045.707639558383,1.3852124084209638,32.52439675471721,135.15254548901675,41.69082422842868,0.798885077315381,5.577330318859652,12.752441612614767,0.7159928005650885,-0.1838939653695447,2.940044639421213,4.117363937714247,0.20409166653388275,-0.09311150376337068
